Room Name,Max Occupancy,Rate Name,Checkin Date,Checkout Date,Cancellation Policy,Price,Currency,Is Top Deal
Classic Double Room,3,Internet Included - Non-refundable,2024-08-12,2024-08-13,"This property imposes the following penalties to its customers that Qantas Hotels is required to pass on: Cancellations or changes made after 21:50 (GMT+01:00) on Aug 10, 2024 are subject to a 100% cost of stay penalty. If you fail to check-in for this reservation, or if you cancel or change this reservation after check-in, you may incur penalty charges at the discretion of the property of up to 100% of the booking value. If you redeem Qantas Points or a Qantas Voucher please refer to the relevant Important Information and Terms & Conditions on the checkout page.",356.21,AUD,False
Classic Double Room,3,"Internet Included, Breakfast Included - Non-refundable",2024-08-12,2024-08-13,"This property imposes the following penalties to its customers that Qantas Hotels is required to pass on: Cancellations or changes made after 21:50 (GMT+01:00) on Aug 10, 2024 are subject to a 100% cost of stay penalty. If you fail to check-in for this reservation, or if you cancel or change this reservation after check-in, you may incur penalty charges at the discretion of the property of up to 100% of the booking value. If you redeem Qantas Points or a Qantas Voucher please refer to the relevant Important Information and Terms & Conditions on the checkout page.",443.52,AUD,False
Deluxe Double Room,3,Internet Included - Non-refundable,2024-08-12,2024-08-13,"This property imposes the following penalties to its customers that Qantas Hotels is required to pass on: Cancellations or changes made after 21:50 (GMT+01:00) on Aug 10, 2024 are subject to a 100% cost of stay penalty. If you fail to check-in for this reservation, or if you cancel or change this reservation after check-in, you may incur penalty charges at the discretion of the property of up to 100% of the booking value. If you redeem Qantas Points or a Qantas Voucher please refer to the relevant Important Information and Terms & Conditions on the checkout page.",395.79,AUD,False
Deluxe Double Room,3,"Internet Included, Breakfast Included - Non-refundable",2024-08-12,2024-08-13,"This property imposes the following penalties to its customers that Qantas Hotels is required to pass on: Cancellations or changes made after 21:50 (GMT+01:00) on Aug 10, 2024 are subject to a 100% cost of stay penalty. If you fail to check-in for this reservation, or if you cancel or change this reservation after check-in, you may incur penalty charges at the discretion of the property of up to 100% of the booking value. If you redeem Qantas Points or a Qantas Voucher please refer to the relevant Important Information and Terms & Conditions on the checkout page.",483.10,AUD,False
Deluxe Room (Twin),3,Internet Included - Non-refundable,2024-08-12,2024-08-13,"This property imposes the following penalties to its customers that Qantas Hotels is required to pass on: Cancellations or changes made after 21:50 (GMT+01:00) on Aug 10, 2024 are subject to a 100% cost of stay penalty. If you fail to check-in for this reservation, or if you cancel or change this reservation after check-in, you may incur penalty charges at the discretion of the property of up to 100% of the booking value. If you redeem Qantas Points or a Qantas Voucher please refer to the relevant Important Information and Terms & Conditions on the checkout page.",428.77,AUD,False
Deluxe Room (Twin),3,"Internet Included, Breakfast Included - Non-refundable",2024-08-12,2024-08-13,"This property imposes the following penalties to its customers that Qantas Hotels is required to pass on: Cancellations or changes made after 21:50 (GMT+01:00) on Aug 10, 2024 are subject to a 100% cost of stay penalty. If you fail to check-in for this reservation, or if you cancel or change this reservation after check-in, you may incur penalty charges at the discretion of the property of up to 100% of the booking value. If you redeem Qantas Points or a Qantas Voucher please refer to the relevant Important Information and Terms & Conditions on the checkout page.",516.08,AUD,False
Luxury Double Room,3,Internet Included - Non-refundable,2024-08-12,2024-08-13,"This property imposes the following penalties to its customers that Qantas Hotels is required to pass on: Cancellations or changes made after 21:50 (GMT+01:00) on Aug 10, 2024 are subject to a 100% cost of stay penalty. If you fail to check-in for this reservation, or if you cancel or change this reservation after check-in, you may incur penalty charges at the discretion of the property of up to 100% of the booking value. If you redeem Qantas Points or a Qantas Voucher please refer to the relevant Important Information and Terms & Conditions on the checkout page.",494.74,AUD,False
Luxury Double Room,3,"Internet Included, Breakfast Included - Non-refundable",2024-08-12,2024-08-13,"This property imposes the following penalties to its customers that Qantas Hotels is required to pass on: Cancellations or changes made after 21:50 (GMT+01:00) on Aug 10, 2024 are subject to a 100% cost of stay penalty. If you fail to check-in for this reservation, or if you cancel or change this reservation after check-in, you may incur penalty charges at the discretion of the property of up to 100% of the booking value. If you redeem Qantas Points or a Qantas Voucher please refer to the relevant Important Information and Terms & Conditions on the checkout page.",582.05,AUD,False
Luxury Room,4,Internet Included - Non-refundable,2024-08-12,2024-08-13,"This property imposes the following penalties to its customers that Qantas Hotels is required to pass on: Cancellations or changes made after 21:50 (GMT+01:00) on Aug 10, 2024 are subject to a 100% cost of stay penalty. If you fail to check-in for this reservation, or if you cancel or change this reservation after check-in, you may incur penalty charges at the discretion of the property of up to 100% of the booking value. If you redeem Qantas Points or a Qantas Voucher please refer to the relevant Important Information and Terms & Conditions on the checkout page.",643.16,AUD,False
Luxury Room,4,"Internet Included, Breakfast Included - Non-refundable",2024-08-12,2024-08-13,"This property imposes the following penalties to its customers that Qantas Hotels is required to pass on: Cancellations or changes made after 21:50 (GMT+01:00) on Aug 10, 2024 are subject to a 100% cost of stay penalty. If you fail to check-in for this reservation, or if you cancel or change this reservation after check-in, you may incur penalty charges at the discretion of the property of up to 100% of the booking value. If you redeem Qantas Points or a Qantas Voucher please refer to the relevant Important Information and Terms & Conditions on the checkout page.",730.47,AUD,False
Junior Suite,2,"Internet Included, Breakfast Included - Non-refundable",2024-08-12,2024-08-13,"This property imposes the following penalties to its customers that Qantas Hotels is required to pass on: Cancellations or changes made after 21:50 (GMT+01:00) on Aug 10, 2024 are subject to a 100% cost of stay penalty. If you fail to check-in for this reservation, or if you cancel or change this reservation after check-in, you may incur penalty charges at the discretion of the property of up to 100% of the booking value. If you redeem Qantas Points or a Qantas Voucher please refer to the relevant Important Information and Terms & Conditions on the checkout page.",670.86,AUD,False
